artist_name	artist_image	spotify_url
Absent In Body	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/5hOxl1B20sRbDI4h27K3Aw
Abysmal Torment	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/79UEQDXFTyCmFDKl3mz2Vg
Accept	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/3JDIAtVrJdQ7GFOX26LYpv
Acceptance	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/4zCbNayYzorqdzd9mPrghW
Ace of Base	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/5ksRONqssB7BR161NTtJAm
Acid Bath	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/3n5jeTRWZEbTPJWyHSYUqn
Acid Tree	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0MaxB7pPJ802ZaQVauiWWZ
Acolyte	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/4TqFZJsJ4i68Wf7s4DYWTc
Acrylazea	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/3ypjSVKL2xghhahfFvicF9
Act Of Denial	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/2tgjkWBEWB4cDCxPZ8UKft
Actor Observer	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/3MtZNEUlyWTdMliSo0zLKu
Ad Nauseam	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/3PX64fTi77YC2MaAs7w7SQ
Adagio	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/6D10Q81h90v8BqPd84RNbI
Adele	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY
Adelitas Way	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/1ZjAT2nTrzDIXFfsQ2hWJk
Adema	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/3n4ersmDo55xV4fPSCKpXb
Adept	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/1TsgX8DlUvpk9mrUqxmOZu
Adiemus/London Philharmonic Orchestra/Miriam Stockley		https://open.spotify.com/artist/73GJmUlQIaIhau1wiDsXVB
Adimiron	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/4xPpQLO9umx1Xem4mL51Y9
Adjy	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/64sY7LsUjNE3ifONkftTXC
Adolescents	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/70nxnxEqDQIEWneRjg2Q4O
Adrenal	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/5zCJmYkwj6y0dExhD1r92F
Adult Mom	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/7tuwjSE2q4zeBdNObeO7LB
Advent Horizon	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/78g6smnwV3vOv8woRJAvQT
